Time,Data_Filt_E0,Data_Filt_E1,Data_Filt_E6,Data_Filt_CD,On-set
3.782,5.986010029494876e-07,6.217812489590415e-07,4.8632905414955e-07,1.9086048780037044e-05,0.0
3.783,5.989511435892441e-07,6.229596829012805e-07,4.848367778703629e-07,1.9179398317902232e-05,0.0
3.7840000000000003,5.98857994796767e-07,6.239737760510483e-07,4.828552991869207e-07,1.926007530946214e-05,0.0
3.785,5.983326848489051e-07,6.247954594417887e-07,4.804136926764223e-07,1.932829709447684e-05,0.0
3.786,5.973850655679663e-07,6.253964919775205e-07,4.775474268033841e-07,1.9384351093129703e-05,0.0
3.787,5.9602455663903e-07,6.257491995771341e-07,4.742929809611242e-07,1.942859998864794e-05,0.0
3.7880000000000003,5.942602615055094e-07,6.258279684401319e-07,4.706852409128412e-07,1.946145815445138e-05,0.0
3.789,5.921001072627113e-07,6.256110125459533e-07,4.66759899203245e-07,1.9483393260514125e-05,0.0
3.79,5.895503225449276e-07,6.250817745521708e-07,4.6255783734584453e-07,1.9494972259235263e-05,0.0
3.791,5.866155866418023e-07,6.2423004348716e-07,4.581263801155524e-07,1.949691054321252e-05,0.0
3.7920000000000003,5.832994414293836e-07,6.230516790132031e-07,4.535163109022701e-07,1.9490076510025672e-05,0.0
3.793,5.796052323338424e-07,6.215486446777975e-07,4.487772053059475e-07,1.9475431024010685e-05,0.0
3.794,5.755371269939767e-07,6.197314583074848e-07,4.439539381387306e-07,1.94539247477332e-05,0.0
3.795,5.711001292525024e-07,6.176202669127969e-07,4.390855587762842e-07,1.942641020481434e-05,0.0
3.7960000000000003,5.662993161803534e-07,6.152420700604775e-07,4.342055535543907e-07,1.9393634403847308e-05,0.0
3.797,5.611395940716747e-07,6.126268486879253e-07,4.293419349727842e-07,1.9356385137318686e-05,0.0
3.798,5.55626905100179e-07,6.098044522243591e-07,4.245169308110446e-07,1.9315737350391875e-05,0.0
3.799,5.497697530826042e-07,6.068030903832478e-07,4.197474520477659e-07,1.927315079431761e-05,0.0
3.8000000000000003,5.435790266282874e-07,6.036495191852582e-07,4.150470719520066e-07,1.92303186039298e-05,0.0
3.801,5.370675442746198e-07,6.003687763608167e-07,4.104280090692388e-07,1.918900177461253e-05,0.0
3.802,5.302520541814184e-07,5.969830942712334e-07,4.059010475137988e-07,1.9151004012928597e-05,0.0
3.803,5.231557460688201e-07,5.935111675777465e-07,4.014742401312498e-07,1.911819180727236e-05,0.0
3.8040000000000003,5.158076399744846e-07,5.899677383106085e-07,3.9715294631984697e-07,1.9092516110164808e-05,0.0
3.805,5.082398827364135e-07,5.863648475187746e-07,3.929410974743882e-07,1.907603187186644e-05,0.0
3.806,5.004859780792103e-07,5.827153360636495e-07,3.888417424323775e-07,1.9070870154011625e-05,0.0
3.807,4.925806084155697e-07,5.790359522623572e-07,3.8485639273428445e-07,1.9079234811044647e-05,0.0
3.8080000000000003,4.845614470828424e-07,5.753484385416352e-07,3.809843286183577e-07,1.9103477864551165e-05,0.0
3.809,4.764715351574181e-07,5.716787492079826e-07,3.77224211234887e-07,1.9146107434967416e-05,0.0
3.81,4.683578013789245e-07,5.680556732632637e-07,3.735781063962463e-07,1.920964844037624e-05,0.0
3.811,4.602662623052723e-07,5.645100250764067e-07,3.700529618399793e-07,1.929646745899122e-05,0.0
3.8120000000000003,4.522401959911837e-07,5.61073404075733e-07,3.666568969697055e-07,1.940860368807701e-05,0.0
3.813,4.443236376949761e-07,5.577765777883996e-07,3.633952574333989e-07,1.954758194423768e-05,0.0
3.814,4.365651473717689e-07,5.546485028419424e-07,3.6027108564162746e-07,1.9714308025953188e-05,0.0
3.815,4.290169088668053e-07,5.517150718621518e-07,3.572880112712793e-07,1.990913094316364e-05,0.0
3.8160000000000003,4.21730135120996e-07,5.489970065653079e-07,3.544514936533369e-07,2.0131983267309087e-05,0.0
3.817,4.147503236739302e-07,5.465078615041649e-07,3.517683047709702e-07,2.038248752097107e-05,0.0
3.818,4.081146762664102e-07,5.442532394858886e-07,3.492463419835458e-07,2.0660002410618927e-05,0.0
3.819,4.018518214339634e-07,5.422318622746333e-07,3.468947142549821e-07,2.0963624395751265e-05,0.0
3.8200000000000003,3.959826586294816e-07,5.404377526999374e-07,3.447229051950171e-07,2.129217916495637e-05,0.0
3.821,3.905216094588633e-07,5.388615959481278e-07,3.427391981764052e-07,2.1644245219550037e-05,0.0
3.822,3.854781880164823e-07,5.374907065666095e-07,3.4094997942566854e-07,2.201826853133376e-05,0.0
3.823,3.808597508131686e-07,5.363086567604011e-07,3.393608764249389e-07,2.2412825646405904e-05,0.0
3.8240000000000003,3.766758489148801e-07,5.352954761159702e-07,3.379788374287193e-07,2.282695388380825e-05,0.0
3.825,3.729411212045897e-07,5.344295536877e-07,3.3681418816187505e-07,2.3260303411155925e-05,0.0
3.826,3.6967369295811163e-07,5.336916305240576e-07,3.358820431246131e-07,2.3712989684905157e-05,0.0
3.827,3.668915357499869e-07,5.330676292938917e-07,3.352016756377395e-07,2.4185318701743825e-05,0.0
3.8280000000000003,3.64610076939817e-07,5.325467891261884e-07,3.347933292528041e-07,2.4677572728317772e-05,0.0
3.829,3.628406254885052e-07,5.32117447201344e-07,3.346743048081429e-07,2.5189848343015213e-05,0.0
3.83,3.615897382976522e-07,5.317659055014841e-07,3.348562214300347e-07,2.572195765316353e-05,0.0
3.831,3.608606475043638e-07,5.31479601339467e-07,3.353445308925153e-07,2.6273512047707174e-05,0.0
3.8320000000000003,3.6065486274351837e-07,5.31250775737472e-07,3.361402834615005e-07,2.6844096402206675e-05,0.0
3.833,3.6097100039075923e-07,5.310773520514769e-07,3.372411647683932e-07,2.743325132354492e-05,0.0
3.834,3.618020498561618e-07,5.30961004376061e-07,3.3864000340600373e-07,2.804024917533338e-05,0.0
3.835,3.6313430109824193e-07,5.309036304236307e-07,3.403241004998209e-07,2.866390793539593e-05,0.0
3.8360000000000003,3.649477829061065e-07,5.309043299747206e-07,3.422780774621084e-07,2.930255503864013e-05,0.0
3.837,3.672175482123254e-07,5.309584064066889e-07,3.4448708973807826e-07,2.995405871354956e-05,0.0
3.838,3.699166449758193e-07,5.31057329912327e-07,3.469362281137945e-07,3.061585904211578e-05,0.0
3.839,3.730195437578876e-07,5.311887947007607e-07,3.496076513049473e-07,3.128502829145226e-05,0.0
3.84,3.765038136141765e-07,5.313372887002678e-07,3.524793531513781e-07,3.195837734671458e-05,0.0
3.841,3.8034935543335193e-07,5.314849242163315e-07,3.555258381111439e-07,3.263255227800805e-05,0.0
3.842,3.8453565376363925e-07,5.316129748562361e-07,3.587199799078711e-07,3.33040891591874e-05,0.0
3.843,3.890391069085961e-07,5.317047173853199e-07,3.6203591653327494e-07,3.3969463056187625e-05,0.0
3.844,3.938326854823027e-07,5.317466367976194e-07,3.654513023684405e-07,3.462514154589271e-05,0.0
3.845,3.988872246386501e-07,5.317267666287493e-07,3.689478490881397e-07,3.526761756851571e-05,0.0
3.846,4.041719736568075e-07,5.316342728345431e-07,3.725104170501233e-07,3.589342282933076e-05,0.0
3.847,4.0965415011823996e-07,5.314614565501232e-07,3.761257856859334e-07,3.64991354000183e-05,0.0
3.848,4.152987988658044e-07,5.312046078208299e-07,3.797828301973562e-07,3.708139460151128e-05,0.0
3.849,4.210689920598095e-07,5.308619299955278e-07,3.83472637245846e-07,3.763692012258672e-05,0.0
3.85,4.269258807276966e-07,5.304304671204474e-07,3.8718664186511017e-07,3.816250875600913e-05,0.0
