time,channel
4.7,1.3004060768952241e-05
4.704,1.2997609338719868e-05
4.708,1.2991282700983044e-05
4.712,1.298508851847257e-05
4.716,1.2979038095520835e-05
4.72,1.2973146608545466e-05
4.724,1.2967433261460305e-05
4.728,1.2961921362748073e-05
4.732,1.2956638322547595e-05
4.736000000000001,1.295161556986746e-05
4.74,1.2946888391797294e-05
4.744,1.2942495698250568e-05
4.748,1.293847971737857e-05
4.752,1.2934885628266161e-05
4.756,1.2931761138640646e-05
4.76,1.2929156015901706e-05
4.763999999999999,1.2927121579802492e-05
4.768,1.2925710164785508e-05
4.772,1.2924974559529864e-05
4.776,1.2924967430772682e-05
4.78,1.29257407379071e-05
4.784,1.29273451442553e-05
4.788,1.2929829430347176e-05
4.792,1.293323991402427e-05
4.796,1.2937619881621024e-05
4.8,1.294300903369862e-05
4.803999999999999,1.2949442947749698e-05
4.808,1.2956952559017349e-05
4.812,1.2965563659397826e-05
4.816,1.2975296414055946e-05
4.82,1.2986164896715186e-05
4.824,1.2998176647555617e-05
4.828,1.301133226082311e-05
4.832,1.3025625010886135e-05
4.836,1.3041040525103638e-05
4.84,1.305755651038304e-05
4.843999999999999,1.3075142538927404e-05
4.848,1.3093759898074022e-05
4.852,1.3113361509135457e-05
4.856,1.3133891920088136e-05
4.86,1.3155287376481876e-05
4.864,1.3177475974347151e-05
4.868,1.3200377898375202e-05
4.872,1.3223905747949409e-05
4.876,1.3247964952330744e-05
4.88,1.3272454274456113e-05
4.8839999999999995,1.3297266400719865e-05
4.888,1.3322288612027888e-05
4.8919999999999995,1.334740352931476e-05
4.896,1.337248992445339e-05
4.9,1.3397423585120415e-05
4.904,1.3422078220049405e-05
4.908,1.3446326389531618e-05
4.912,1.347004044493694e-05
4.916,1.3493093459993635e-05
4.92,1.3515360135302617e-05
4.9239999999999995,1.3536717656342458e-05
4.928,1.355704648494602e-05
4.9319999999999995,1.3576231066195898e-05
4.936,1.3594160437659342e-05
4.94,1.3610728734995181e-05
4.944,1.3625835595048662e-05
4.948,1.363938646281982e-05
4.952,1.3651292811741918e-05
4.956,1.3661472288042193e-05
4.96,1.3669848790173345e-05
4.9639999999999995,1.3676352493840199e-05
4.968,1.3680919832360385e-05
4.9719999999999995,1.3683493441194076e-05
4.976,1.3684022074436432e-05
4.98,1.368246049990936e-05
4.984,1.3678769378535093e-05
4.988,1.3672915133258911e-05
4.992,1.3664869812784482e-05
4.996,1.3654610955291498e-05
5.0,1.364212145680398e-05
5.004,1.3627389448041162e-05
5.008,1.3610408182541275e-05
5.0120000000000005,1.3591175937589588e-05
5.016,1.3569695928145345e-05
5.0200000000000005,1.354597623303158e-05
5.024,1.3520029732490422e-05
5.0280000000000005,1.3491874056526751e-05
5.032,1.3461531543644178e-05
5.0360000000000005,1.342902920937744e-05
5.04,1.3394398723622212e-05
5.0440000000000005,1.3357676395259404e-05
5.048,1.3318903161799941e-05
5.0520000000000005,1.3278124580528311e-05
5.056,1.3235390815905785e-05
5.0600000000000005,1.319075661623894e-05
5.064,1.3144281271831338e-05
5.0680000000000005,1.3096028548158283e-05
5.072,1.3046066591116956e-05
5.0760000000000005,1.2994467805536265e-05
5.08,1.2941308710850945e-05
5.0840000000000005,1.288666977837624e-05
5.088,1.2830635253716533e-05
5.0920000000000005,1.2773292966735413e-05
5.096,1.2714734130941226e-05
5.1000000000000005,1.2655053134095178e-05
5.104,1.2594347321887181e-05
5.1080000000000005,1.253271677628345e-05
5.112,1.2470264089633709e-05
5.1160000000000005,1.240709413511483e-05
5.12,1.2343313833881404e-05
5.124,1.227903191944999e-05
5.127999999999999,1.2214358700030514e-05
5.132000000000001,1.2149405819275208e-05
5.136,1.2084286015203795e-05
5.14,1.201911287641313e-05
5.144,1.1954000594651516e-05
5.148,1.1889063713409815e-05
5.152,1.1824416872764086e-05
5.156000000000001,1.1760174550713841e-05
5.16,1.1696450800551535e-05
5.164,1.163335898260597e-05
5.167999999999999,1.1571011487366747e-05
5.172000000000001,1.150951944588218e-05
5.176,1.1448992423000449e-05
5.18,1.1389538090284834e-05
5.184,1.1331261878592452e-05
5.188,1.12742666144305e-05
5.192,1.1218652147614131e-05
5.196000000000001,1.1164514979416602e-05
5.2,1.1111947900517158e-05
5.204,1.1061039647340642e-05
5.207999999999999,1.1011874584313996e-05
5.212000000000001,1.096453241826548e-05
5.216,1.0919087949735627e-05
5.22,1.0875610864470945e-05
5.224,1.0834165566927766e-05
5.228,1.0794811056324725e-05
5.232,1.0757600844761191e-05
5.236000000000001,1.0722582916175175e-05
5.24,1.068979972435203e-05
5.244,1.0659288227820269e-05
5.247999999999999,1.0631079959371122e-05
5.252000000000001,1.0605201127934065e-05
5.256,1.0581672750161801e-05
5.26,1.0560510808067423e-05
5.263999999999999,1.0541726427615771e-05
5.268,1.052532607162294e-05
5.272,1.0511311738797306e-05
5.276,1.0499681159334489e-05
5.28,1.0490427976320935e-05
5.284,1.0483541901472001e-05
5.287999999999999,1.0479008833645332e-05
5.292000000000001,1.047681092966861e-05
5.296,1.0476926619991865e-05
5.3,1.0479330566560882e-05
5.303999999999999,1.0483993566022732e-05
5.308,1.049088240631327e-05
5.312,1.0499959687871512e-05
5.316,1.0511183622249416e-05
5.32,1.0524507821208054e-05
5.324,1.0539881088801755e-05
5.327999999999999,1.0557247227696486e-05
5.332000000000001,1.0576544869435435e-05
5.336,1.0597707336878287e-05
5.34,1.0620662545688666e-05
5.343999999999999,1.064533295046159e-05
5.348,1.0671635539793254e-05
5.352,1.0699481883288349e-05
